;"LLUVIA POBL.
(mm)";"TEMPERATURA
  MEDIA (ºc)";"APORTACIONES A LA PRESA
(hm³)";"VOLUMEN EMBALSADO
(hm³)";"VOLUMEN PARA RIEGO
(m³)";"VOLUMEN PARA ABASTECIMIENTO
(m³)";"VOLUMEN VERTIDO
(m³)"
10/04/1992;0;0;0,181976827;54,645;0;0;0
11/04/1992;0;0;0,071096701;54,7;0;0;0
12/04/1992;0;0;0,063498153;54,756;0;0;0
13/04/1992;0;0;0,070283924;54,811;0;0;0
14/04/1992;0;0;0,067122809;54,867;0;0;0
15/04/1992;0;0;0,094411976;54,95;0;0;0
16/04/1992;0;0;0,046654899;54,978;0;0;0
17/04/1992;0;0;0,043040179;55,006;0;0;0
18/04/1992;0;0;0,045273954;55,034;0;0;0
19/04/1992;0;0;0,040541601;55,062;0;0;0
20/04/1992;0;0;0,012820303;55,062;0;0;0
21/04/1992;0;0;0,044448768;55,09;0;0;0
22/04/1992;0;0;0,041386402;55,118;0;0;0
23/04/1992;0;0;0,042343535;55,145;0;0;0
24/04/1992;0;0;0,043906665;55,173;0;0;0
25/04/1992;0;0;0,043632653;55,201;0;0;0
26/04/1992;0;0;0,04391695;55,229;0;0;0
27/04/1992;0;0;0,04587748;55,257;0;0;0
28/04/1992;0;0;0,042250733;55,285;0;0;0
29/04/1992;0;0;0,043932421;55,313;0;0;0
30/04/1992;0;0;0,011460163;55,313;0;0;0
01/05/1992;0;0;0,01453484;55,313;0;0;0
02/05/1992;0;0;0,018727583;55,313;0;0;0
03/05/1992;0;0;0,019566131;55,313;0;0;0
04/05/1992;0;0;0,113286615;55,313;0;0;0,094
05/05/1992;0;0;-0,00844017;55,285;0;0;0
06/05/1992;0;0;-0,092186435;55,173;0;0;0
07/05/1992;0;0;-0,007076998;55,145;0;0;0
08/05/1992;0;0;0,012832774;55,145;0;0;0
09/05/1992;1;0;0,010043041;55,145;0;0;0
10/05/1992;0;0;0,019249162;55,145;0;0;0
11/05/1992;0;0;0,018970188;55,145;0;0;0
12/05/1992;0;0;-0,00385268;55,118;0;0;0
13/05/1992;0;0;0,015896352;55,118;0;0;0
14/05/1992;0;0;-0,009878476;55,09;0;0;0
15/05/1992;0;0;-0,012392675;55,062;0;0;0
16/05/1992;0;0;0,013656409;55,062;0;0;0
17/05/1992;0;0;-0,009890209;55,034;0;0;0
